zip_code,GEOID,HDBH_2017,HDBH_2017_moe,HDBHR_2017,HDBHR_2017_moe
,,"Behavioral health hospitalizations (count of hospitalizations), 2017",(90% margin of error),"Behavioral health hospitalization rate (per 10,000 population), 2017",(90% margin of error)
60601.0,60601.0,91.0,,85.4,17.41517857163
60602.0,60602.0,25.0,,400.5,201.1348214232
60603.0,60603.0,18.0,,990.3,812.4285714279
60604.0,60604.0,28.0,,674.2,293.07857143495005
60605.0,60605.0,285.0,,119.7,14.099999999953
60606.0,60606.0,66.0,,488.3,217.83660714655002
60607.0,60607.0,651.0,,304.1,21.527678571630002
60608.0,60608.0,1137.0,,138.8,6.9241071429075
60609.0,60609.0,1116.0,,180.2,9.064285714232001
60610.0,60610.0,498.0,,126.6,10.1133928571865
60611.0,60611.0,248.0,,79.4,10.1133928571865
60612.0,60612.0,1366.0,,429.8,19.47142857163
60613.0,60613.0,640.0,,140.9,10.1133928571865
60614.0,60614.0,571.0,,93.6,7.0499999999765
60615.0,60615.0,680.0,,165.1,10.700892857116
60616.0,60616.0,641.0,,126.5,8.4767857143025
60617.0,60617.0,1199.0,,144.4,6.9241071429075
60618.0,60618.0,928.0,,104.3,5.7910714286285
60619.0,60619.0,1421.0,,218.2,9.819642857139499
60620.0,60620.0,1580.0,,217.4,9.148214285721
60621.0,60621.0,1307.0,,373.4,17.33125000047
60622.0,60622.0,983.0,,231.2,13.050892857163001
60623.0,60623.0,1870.0,,220.6,8.560714285791502
60624.0,60624.0,1510.0,,395.4,16.953571428605
60625.0,60625.0,842.0,,109.8,6.4205357143025
60626.0,60626.0,1525.0,,298.3,12.966964285674
60628.0,60628.0,1561.0,,216.9,9.1901785714655
60629.0,60629.0,1242.0,,112.3,5.371428571348001
60630.0,60630.0,522.0,,94.7,6.9241071429075
60631.0,60631.0,254.0,,92.9,9.9035714286285
60632.0,60632.0,790.0,,86.2,5.2035714285345005
60633.0,60633.0,158.0,,120.3,15.8625000000705
60634.0,60634.0,815.0,,107.7,6.294642857069
60636.0,60636.0,1303.0,,320.4,14.8553571428605
60637.0,60637.0,1291.0,,270.7,12.5892857143025
60638.0,60638.0,569.0,,104.3,7.259821428534499
60639.0,60639.0,1235.0,,138.8,6.6303571428605
60640.0,60640.0,2139.0,,302.6,11.2464285714655
60641.0,60641.0,901.0,,123.7,6.882142857163001
60642.0,60642.0,197.0,,132.2,16.911607143025
60643.0,60643.0,762.0,,151.8,9.358035714279
60644.0,60644.0,2278.0,,469.4,16.4080357142555
60645.0,60645.0,653.0,,148.2,9.651785714326
60646.0,60646.0,181.0,,69.9,8.9803571429075
60647.0,60647.0,1253.0,,157.4,7.679464285650501
60649.0,60649.0,1367.0,,279.0,12.6732142857915
60651.0,60651.0,1830.0,,289.8,11.28839285721
60652.0,60652.0,417.0,,103.1,8.392857142813499
60653.0,60653.0,893.0,,291.8,16.156249999953
60654.0,60654.0,181.0,,106.6,14.603571428558
60655.0,60655.0,274.0,,97.3,9.777678571395
60656.0,60656.0,183.0,,67.4,8.434821428558001
60657.0,60657.0,560.0,,98.3,7.679464285650501
60659.0,60659.0,344.0,,88.4,7.8892857142084996
60660.0,60660.0,693.0,,150.8,9.6937500000705
60661.0,60661.0,27.0,,45.8,29.96249999953
60707.0,60707.0,462.0,,104.3,8.099107142931
60827.0,60827.0,445.0,,156.5,12.421428571489
