Layer,Name,GEOID,EVR_2018,EVR_2018_moe
,,,"Eviction rate (% of renter-occupied households), 2018",(90% margin of error)
Community area,Rogers Park,1,0.586916157307394,
Community area,Norwood Park,10,0.400132532295574,
Community area,Jefferson Park,11,0.561007350635875,
Community area,Forest Glen,12,0.889855021178857,
Community area,North Park,13,0.311318337675155,
Community area,Albany Park,14,0.51124702914324,
Community area,Portage Park,15,0.627399066359402,
Community area,Irving Park,16,0.608040947163548,
Community area,Dunning,17,0.504714497323667,
Community area,Montclare,18,1.02291784013239,
Community area,Belmont Cragin,19,0.565279097419479,
Community area,West Ridge,2,0.691219453868228,
Community area,Hermosa,20,0.506470923809193,
Community area,Avondale,21,0.404173541475911,
Community area,Logan Square,22,0.22714497695648,
Community area,Humboldt Park,23,0.940870611098806,
Community area,West Town,24,0.271156481076376,
Community area,Austin,25,1.91166237400501,
Community area,West Garfield Park,26,2.08553115425684,
Community area,East Garfield Park,27,1.37350745633043,
Community area,Near West Side,28,0.440881507008283,
Community area,North Lawndale,29,2.18979136247217,
Community area,Uptown,3,0.509793937996725,
Community area,South Lawndale,30,0.525674576234339,
Community area,Lower West Side,31,0.320703524798054,
Community area,Loop,32,0.50195093530963,
Community area,Near South Side,33,1.0125164945781,
Community area,Armour Square,34,0.206393524814739,
Community area,Douglas,35,1.58772363941187,
Community area,Oakland,36,1.96935995502739,
Community area,Fuller Park,37,0.575473618592184,
Community area,Grand Boulevard,38,1.31266476507399,
Community area,Kenwood,39,1.44604463139225,
Community area,Lincoln Square,4,0.174679205565237,
Community area,Washington Park,40,2.2939444477225,
Community area,Hyde Park,41,0.942350803147769,
Community area,Woodlawn,42,1.98919189018116,
Community area,South Shore,43,2.77131767877167,
Community area,Chatham,44,2.68239381723571,
Community area,Avalon Park,45,1.44348358161535,
Community area,South Chicago,46,2.50222100709257,
Community area,Burnside,47,0.881236741048134,
Community area,Calumet Heights,48,0.835262072644971,
Community area,Roseland,49,1.82910754084866,
Community area,North Center,5,0.157502792198416,
Community area,Pullman,50,0.748685589602764,
Community area,South Deering,51,1.06276724909833,
Community area,East Side,52,0.407082580443433,
Community area,West Pullman,53,2.24115888166802,
Community area,Riverdale,54,3.50844909006515,
Community area,Hegewisch,55,2.76302761076591,
Community area,Garfield Ridge,56,0.409466370770408,
Community area,Archer Heights,57,0.477207453888992,
Community area,Brighton Park,58,0.636671661632893,
Community area,McKinley Park,59,0.433072547953976,
Community area,Lake View,6,0.205305374395328,
Community area,Bridgeport,60,0.245913720008374,
Community area,New City,61,1.07388411141701,
Community area,West Elsdon,62,0.258591508242988,
Community area,Gage Park,63,0.697936924839654,
Community area,Clearing,64,0.829816152192466,
Community area,West Lawn,65,0.67141462694709,
Community area,Chicago Lawn,66,1.37969145205799,
Community area,West Englewood,67,1.73748045623478,
Community area,Englewood,68,2.30684129945357,
Community area,Greater Grand Crossing,69,2.26736059235357,
Community area,Lincoln Park,7,0.279551967018034,
Community area,Ashburn,70,1.26874396296874,
Community area,Auburn Gresham,71,2.48871285063472,
Community area,Beverly,72,0.495182796422148,
Community area,Washington Heights,73,1.37434653715521,
Community area,Mount Greenwood,74,1.08467457113684,
Community area,Morgan Park,75,1.18136353708911,
Community area,O'Hare,76,0.455479922680109,
Community area,Edgewater,77,0.453682715904957,
Community area,Near North Side,8,0.412193604770167,
Community area,Edison Park,9,0.100023157555721,
